tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_war,film_is_documentary,film_is_history,film_is_science_fiction,film_is_tv_movie,film_is_adventure,film_is_music,film_is_crime,film_is_fantasy,film_is_horror,film_is_thriller,film_is_drama,film_is_animation,film_is_romance,film_is_mystery,film_is_action,film_is_comedy,film_is_family,film_is_western
289222,The Zookeeper's Wife,22875521,4,The Escape,Harry Gregson‐Williams,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,4.0,The Escape,4rWWFrq2mpDDrxNIHW9E7n,https://open.spotify.com/track/4rWWFrq2mpDDrxNIHW9E7n,35.0,Ab,major,4B,126.0,93.0,51.0,45.0,1.0,79.0,37.0,7.0,-9.0,1.3862943611198906,Harry Gregson-Williams,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
302401,Snowden,21646816,23,Marwan Intel,Craig Armstrong,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42.0,69.0,Marwan Intel,3ztUiKjy52U0CMKnMMQLB4,https://open.spotify.com/track/3ztUiKjy52U0CMKnMMQLB4,2.0,E,major,12B,171.0,18.0,20.0,12.0,5.0,86.0,12.0,30.0,-31.0,4.23410650459726,Craig Armstrong,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
840430,The Holdovers,44575109,7,In Memory of Elizabeth Reed,The Allman Brothers Band,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40973.0,138737.0,In Memory of Elizabeth Reed,23KUlJNvJmKrRVmo3XBvxM,https://open.spotify.com/track/23KUlJNvJmKrRVmo3XBvxM,46.0,A,minor,8A,114.0,76.0,38.0,79.0,6.0,87.0,6.0,3.0,-10.0,11.84033533352546,Mark Orton,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
420814,Christopher Robin,26006910,1,Storybook,Geoff Zanelli & Jon Brion,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,86.0,249.0,Storybook,71G421mQ7cWLT81NM5cOmu,https://open.spotify.com/track/71G421mQ7cWLT81NM5cOmu,49.0,A,minor,8A,77.0,12.0,44.0,37.0,97.0,93.0,9.0,3.0,-21.0,5.517452896464707,Geoff Zanelli,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False
721625,Songbird,33436412,11,You Come to Me,Lorne Balfe,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48.0,82.0,You Come to Me,5elmMi3wumdW4q4Yx5kJ3J,https://open.spotify.com/track/5elmMi3wumdW4q4Yx5kJ3J,0.0,E,minor,9A,130.0,57.0,86.0,94.0,29.0,0.0,31.0,4.0,-13.0,4.406719247264253,Lorne Balfe,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
514921,The Aeronauts,29505597,11,Do You Have Faith,Steven Price,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,206.0,611.0,Do You Have Faith,6yMu2tjiK6F07W7akipDqZ,https://open.spotify.com/track/6yMu2tjiK6F07W7akipDqZ,4.0,F#,minor,11A,126.0,31.0,71.0,9.0,61.0,71.0,10.0,6.0,-13.0,6.415096959171596,Steven Price,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
329865,Arrival,21732955,2,Heptapod B,Jóhann Jóhannsson,2016,False,False,False,False,True,False,False,False,True,False,False,False,True,True,36430.0,146314.0,Heptapod B,0wvldPbWwuellRqCfzL4eu,https://open.spotify.com/track/0wvldPbWwuellRqCfzL4eu,38.0,A#,minor,3A,126.0,45.0,56.0,5.0,78.0,87.0,9.0,6.0,-17.0,11.893510276209762,Jóhann Jóhannsson,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
259693,The Conjuring 2,21115477,18,Submerged Entity,Joseph Bishara,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,338.0,696.0,Submerged Entity,43KFyDKDor8oc2SyCrZi4E,https://open.spotify.com/track/43KFyDKDor8oc2SyCrZi4E,3.0,C#,major,3B,125.0,16.0,17.0,4.0,75.0,94.0,12.0,5.0,-20.0,6.54534966033442,Joseph Bishara,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
257211,The Intern,19961737,13,You Were Meant for Me,Gene Kelly,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18766.0,58930.0,You Were Meant for Me,0UHrAWfeboiGQlfJloAwbf,https://open.spotify.com/track/0UHrAWfeboiGQlfJloAwbf,36.0,F,minor,4A,121.0,11.0,22.0,12.0,98.0,31.0,8.0,4.0,-21.0,10.98410557783196,Theodore Shapiro,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
523781,Words on Bathroom Walls,33244533,4,Fire on the Nun,Andrew Hollander & The Chainsmokers,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0,15.0,Fire on the Nun,1zkBIhaff5Tm62SdoGHlua,https://open.spotify.com/track/1zkBIhaff5Tm62SdoGHlua,3.0,F#,minor,11A,168.0,53.0,48.0,6.0,13.0,3.0,11.0,4.0,-11.0,2.70805020110221,Drew Taggart,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
345911,Lights Out,21605220,8,She's Real,Benjamin Wallfisch,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,92.0,216.0,She's Real,2vXRQFuLlScnSJri1rtC6h,https://open.spotify.com/track/2vXRQFuLlScnSJri1rtC6h,3.0,D,major,10B,139.0,14.0,14.0,3.0,70.0,54.0,9.0,4.0,-25.0,5.375278407684165,Benjamin Wallfisch,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
710295,Wolf Man,50254137,10,Time to Go,Benjamin Wallfisch,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,106.0,179.0,Time to Go,1Dl0PobPIi05KmXMI8rsmN,https://open.spotify.com/track/1Dl0PobPIi05KmXMI8rsmN,4.0,D,major,10B,84.0,49.0,54.0,52.0,59.0,0.0,20.0,6.0,-8.0,5.187385805840755,Benjamin Wallfisch,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
