tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_drama,film_is_horror,film_is_science_fiction,film_is_action,film_is_fantasy,film_is_mystery,film_is_western,film_is_animation,film_is_documentary,film_is_history,film_is_music,film_is_war,film_is_crime,film_is_adventure,film_is_thriller,film_is_tv_movie,film_is_family,film_is_comedy,film_is_romance
446807,The Girl in the Spider's Web,26695228,3,Lisbeth's Lair,Roque Baños,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,170.0,412.0,Lisbeth's Lair,0xabYpcS0WnVVFHrEaO8TX,https://open.spotify.com/track/0xabYpcS0WnVVFHrEaO8TX,2.0,A,minor,8A,99.0,14.0,21.0,7.0,81.0,92.0,10.0,3.0,-19.0,6.021023349349527,Roque Baños,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
305470,Power Rangers,22679938,18,Be Who You Want to Be,Brian Tyler,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,528.0,1714.0,Be Who You Want to Be,5aFabq3VMSwd0KVCF9lQIl,https://open.spotify.com/track/5aFabq3VMSwd0KVCF9lQIl,8.0,G,major,9B,98.0,73.0,68.0,60.0,17.0,0.0,10.0,12.0,-6.0,7.446585099157725,Brian Tyler,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
301528,Toy Story 4,28480783,18,Prepping the Jump,Randy Newman,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,935.0,1691.0,Prepping the Jump,04HSmXOf4yN2o9DWKWkGQF,https://open.spotify.com/track/04HSmXOf4yN2o9DWKWkGQF,20.0,G,major,9B,112.0,81.0,72.0,51.0,41.0,0.0,15.0,4.0,-6.0,7.43307534889858,Randy Newman,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
535544,Downton Abbey,29139832,7,Sabotage,John Lunn & Chamber Orchestra of London,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,51.0,162.0,Sabotage,6SHMgnvY6gcEa8cR5ZBoj4,https://open.spotify.com/track/6SHMgnvY6gcEa8cR5ZBoj4,16.0,F#,major,2B,136.0,9.0,42.0,4.0,98.0,93.0,12.0,4.0,-20.0,5.087596335232384,John Lunn,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
293167,Kong: Skull Island,22530419,8,Kong the Destroyer,Henry Jackman,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1150.0,3110.0,Kong the Destroyer,7DWYjhAsHYGJZMAoOVWBQY,https://open.spotify.com/track/7DWYjhAsHYGJZMAoOVWBQY,15.0,G#,minor,1A,113.0,42.0,23.0,4.0,39.0,87.0,16.0,5.0,-14.0,8.04237800517328,Henry Jackman,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
632856,Spirited,40579253,3,Bringin’ Back Christmas,Ryan Reynolds & The Spirited Ensemble,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,Bringin' Back Christmas,4zLeKOsCWPYV9SRVL5DFlR,https://open.spotify.com/track/4zLeKOsCWPYV9SRVL5DFlR,40.0,B,minor,10A,106.0,66.0,69.0,69.0,20.0,0.0,29.0,19.0,-6.0,0.0,Dominic Lewis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
576845,Last Night in Soho,36529822,11,Just Come In Dearie,Steven Price,2021,False,False,False,False,False,False,False,False,False,False,False,False,True,False,445.0,940.0,Just Come In Dearie,0F2naNqnPrNqTKs9cGoh4J,https://open.spotify.com/track/0F2naNqnPrNqTKs9cGoh4J,1.0,F,minor,4A,98.0,82.0,78.0,86.0,2.0,0.0,28.0,20.0,-3.0,6.84587987526405,Steven Price,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
277355,Everly,51520472,1,A Gift From Taiko,Bear McCreary,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,66.0,241.0,A Gift From Taiko,4ncjNebCuhRQOLvMn0bREH,https://open.spotify.com/track/4ncjNebCuhRQOLvMn0bREH,1.0,E,minor,9A,160.0,47.0,32.0,24.0,65.0,92.0,8.0,4.0,-20.0,5.484796933490655,Bear McCreary,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
399360,Alpha,26563540,26,Alpha is Down,Joseph S. DeBeasi,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,86.0,164.0,Alpha is Down,7prZRNTmk5SdoWwdAusB6x,https://open.spotify.com/track/7prZRNTmk5SdoWwdAusB6x,3.0,D,major,10B,105.0,56.0,94.0,61.0,0.0,0.0,9.0,6.0,-5.0,5.099866427824199,Joseph S. DeBeasi,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),30416825,19,The Bertinelli Revenge,Daniel Pemberton,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,609.0,1916.0,The Bertinelli Revenge,50sfOYpVJApc6iAXZ7IT1O,https://open.spotify.com/track/50sfOYpVJApc6iAXZ7IT1O,4.0,C,minor,5A,146.0,45.0,44.0,16.0,44.0,95.0,14.0,3.0,-10.0,7.557994958530806,Daniel Pemberton,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
